sample	kind	channel	note	velocity
1625958	on	10	36	109
1626093	off	10	38	0
1631862	on	10	36	117
1631862	on	10	36	118
1631862	off	10	36	0
1631862	off	10	36	0
1631874	on	10	53	105
1631924	on	10	49	113
1631924	off	10	49	0
1632256	on	2	36	86
1632256	off	2	36	0
1634304	on	2	36	86
1634304	off	2	36	0
1637862	off	10	36	0
1637874	off	10	53	0
1638400	on	2	36	86
1638400	off	2	36	0
1640448	on	2	36	86
1640448	off	2	36	0
1644032	on	2	36	86
1644032	off	2	36	0
1644081	on	10	46	82
1646080	on	2	36	86
1646080	off	2	36	0
1650176	on	2	36	86
1650176	off	2	36	0
1652224	on	2	36	86
1652224	off	2	36	0
1655957	on	10	38	121
1661952	off	2	36	0
1661957	off	10	38	0
1662000	on	2	36	86
1664000	on	2	36	86
1664000	off	2	36	0
1667924	off	10	49	0
1668027	on	10	46	88
1668027	off	10	46	0
1668096	on	2	36	86
1668096	off	2	36	0
1670144	on	2	36	86
1670144	off	2	36	0
1679728	on	10	36	112
1680029	on	10	53	93
1685728	off	10	36	0
1686016	on	2	36	86
1686016	off	2	36	0
1686029	off	10	53	0
1688064	on	2	36	86
1688064	off	2	36	0
1692027	off	10	46	0
1692075	on	10	46	89
1698304	on	2	36	86
1698304	off	2	36	0
1700352	on	2	36	86
1700352	off	2	36	0
1704039	on	10	38	116
1704448	on	2	36	86
1704448	off	2	36	0
1706496	on	2	36	86
1706496	off	2	36	0
1710039	off	10	38	0
1710080	on	2	36	86
1710080	off	2	36	0
1712128	on	2	36	86
1712128	off	2	36	0
1715935	on	10	46	99
1715935	off	10	46	0
1716224	on	2	36	86
1716224	off	2	36	0
1718272	on	2	36	86
1718272	off	2	36	0
1727784	on	10	49	104
1727994	on	10	36	112
1728000	on	2	36	86
1728000	off	2	36	0
1730048	on	2	36	86
1730048	off	2	36	0
1733994	off	10	36	0
1734144	on	2	36	86
1734144	off	2	36	0
1736192	on	2	36	86
1736192	off	2	36	0
1739898	on	10	46	64
1739898	off	10	46	0
1745920	off	2	36	0
1746000	on	2	36	86
1747968	on	2	36	86
1747968	off	2	36	0
1751846	on	10	38	113
1752576	on	2	36	86
1752576	off	2	36	0
1754624	on	2	36	86
1754624	off	2	36	0
1757846	off	10	38	0
1763898	off	10	46	0
1764026	on	10	46	82
1764352	on	2	36	86
1764352	off	2	36	0
1766400	on	2	36	86
1766400	off	2	36	0
1775814	on	10	36	115
1776128	on	2	36	86
1776128	off	2	36	0
1778176	on	2	36	86
1778176	off	2	36	0
1781814	off	10	36	0
1782272	on	2	36	86
1782272	off	2	36	0
1784320	on	2	36	86
1784320	off	2	36	0
1787784	off	10	49	0
1787971	on	10	46	92
1787971	off	10	46	0
1794048	on	2	36	86
1794048	off	2	36	0
1796096	on	2	36	86
1796096	off	2	36	0
1799997	on	10	38	117
1800192	on	2	36	86
1800192	off	2	36	0
1802240	on	2	36	86
1802240	off	2	36	0
1805997	off	10	38	0
1811968	off	2	36	0
1811971	off	10	46	0
1811977	on	10	46	77
1812000	on	2	36	86
1814016	on	2	36	86
1814016	off	2	36	0
1823915	on	10	52	112
1823923	on	10	53	100
1823924	on	10	36	115
1823924	on	10	36	115
1823924	off	10	36	0
1829888	off	2	36	0
1829923	off	10	53	0
1829924	off	10	36	0
1830000	on	2	36	86
